---

1. Size = 7

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   196935    0.281    0.000    0.566    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000   56.282   56.282 <string>:1(<module>)
 15951654    3.406    0.000   26.591    0.000 _methods.py:43(_amin)
        1    0.001    0.001    0.001    0.001 bnb.py:160(setup_matrix)
        1    0.000    0.000    0.000    0.000 bnb.py:17(__init__)
    98467    5.984    0.000   53.603    0.001 bnb.py:192(reduce_matrix)
   196934   11.825    0.000   43.946    0.000 bnb.py:193(compress_minimum_matrix)
    35041    0.017    0.000    0.022    0.000 bnb.py:21(is_empty)
    98467    0.524    0.000    1.776    0.000 bnb.py:211(<listcomp>)
    98467    0.520    0.000    1.759    0.000 bnb.py:225(<listcomp>)
    98469    0.093    0.000    0.184    0.000 bnb.py:24(enqueue)
    35041    0.036    0.000    0.142    0.000 bnb.py:28(dequeue)
    98469    0.039    0.000    0.039    0.000 bnb.py:36(__init__)
        1    0.988    0.988   56.021   56.021 bnb.py:58(branch_and_bound)
    98466    0.317    0.000    0.343    0.000 bnb.py:63(mark_as_visited)
    98466    0.093    0.000    0.134    0.000 copy.py:66(copy)
      165    0.000    0.000    0.000    0.000 core.py:101(aps)
      165    0.000    0.000    0.000    0.000 core.py:103(<listcomp>)
      758    0.000    0.000    0.000    0.000 core.py:105(aps_all)
        2    0.000    0.000    0.000    0.000 core.py:122(__init__)
       25    0.000    0.000    0.000    0.000 core.py:17(__init__)
      175    0.000    0.000    0.000    0.000 core.py:22(add_path)
    20324    0.086    0.000    0.093    0.000 core.py:254(get_aps)
        9    0.000    0.000    0.000    0.000 core.py:55(__init__)
   196935    0.035    0.000    0.035    0.000 multiarray.py:1079(copyto)
   196935    0.319    0.000    1.093    0.000 numeric.py:290(full)
        1    0.000    0.000    0.000    0.000 random.py:235(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 random.py:367(choice)
        7    0.000    0.000    0.000    0.000 route.py:12(prod_to_node)
        2    0.001    0.001    0.173    0.087 route.py:16(generate_cost_graph)
        1    0.000    0.000    0.000    0.000 route.py:189(path_instructions)
        1    0.000    0.000    0.000    0.000 route.py:200(<listcomp>)
        8    0.000    0.000    0.000    0.000 route.py:216(get_step_instructions)
       44    0.000    0.000    0.000    0.000 route.py:221(get_direction)
        1    0.087    0.087   56.109   56.109 route.py:261(find_route)
      175    0.063    0.000    0.171    0.001 route.py:56(cost)
        1    0.000    0.000   56.282   56.282 test.py:58(run_bnb)
        1    0.000    0.000    0.000    0.000 test.py:59(<listcomp>)
    55531    0.090    0.000    0.090    0.000 {built-in method _heapq.heappop}
   121603    0.094    0.000    0.094    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000   56.282   56.282 {built-in method builtins.exec}
   314510    0.036    0.000    0.036    0.000 {built-in method builtins.len}
  2142588    2.490    0.000    2.490    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
   196934    0.139    0.000    0.139    0.000 {built-in method builtins.sum}
   197652    0.026    0.000    0.026    0.000 {built-in method math.floor}
   196935    0.096    0.000    0.096    0.000 {built-in method numpy.asarray}
   196935    0.250    0.000    0.250    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
   196935    0.112    0.000    0.112    0.000 {built-in method numpy.empty}
   505174    0.053    0.000    0.053    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
    98466    0.023    0.000    0.023    0.000 {method 'copy' of 'list' objects}
    98466    0.504    0.000    0.504    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   160904    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
    24050    0.006    0.000    0.006    0.000 {method 'keys' of 'dict' objects}
 15951654    4.436    0.000   31.027    0.000 {method 'min' of 'numpy.ndarray' objects}
 15951654   23.185    0.000   23.185    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      923    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}

---

2. Size = 7
        3042735 function calls in 40.591 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    92143    0.113    0.000    0.244    0.000 <__array_function__ internals>:177(copyto)
        1    0.000    0.000   40.591   40.591 <string>:1(<module>)
        1    0.000    0.000    0.001    0.001 bnb.py:160(setup_matrix)
        1    0.000    0.000    0.000    0.000 bnb.py:17(__init__)
    46071    2.993    0.000   39.213    0.001 bnb.py:192(reduce_matrix)
    92142   33.768    0.000   34.298    0.000 bnb.py:193(compress_minimum_matrix)
     8255    0.004    0.000    0.006    0.000 bnb.py:21(is_empty)
    46071    0.256    0.000    0.931    0.000 bnb.py:218(<listcomp>)
    46071    0.255    0.000    0.913    0.000 bnb.py:232(<listcomp>)
    46073    0.050    0.000    0.096    0.000 bnb.py:24(enqueue)
     8255    0.011    0.000    0.050    0.000 bnb.py:28(dequeue)
    46073    0.022    0.000    0.022    0.000 bnb.py:36(__init__)
        1    0.465    0.465   40.391   40.391 bnb.py:58(branch_and_bound)
    46070    0.155    0.000    0.168    0.000 bnb.py:63(mark_as_visited)
    46070    0.052    0.000    0.073    0.000 copy.py:66(copy)
      165    0.000    0.000    0.000    0.000 core.py:101(aps)
      165    0.000    0.000    0.000    0.000 core.py:103(<listcomp>)
      758    0.000    0.000    0.000    0.000 core.py:105(aps_all)
        2    0.000    0.000    0.000    0.000 core.py:122(__init__)
       25    0.000    0.000    0.000    0.000 core.py:17(__init__)
      175    0.000    0.000    0.000    0.000 core.py:22(add_path)
    20324    0.076    0.000    0.083    0.000 core.py:254(get_aps)
        9    0.000    0.000    0.000    0.000 core.py:55(__init__)
    92143    0.017    0.000    0.017    0.000 multiarray.py:1079(copyto)
    92143    0.185    0.000    0.530    0.000 numeric.py:290(full)
        1    0.000    0.000    0.000    0.000 random.py:235(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 random.py:367(choice)
        7    0.000    0.000    0.000    0.000 route.py:12(prod_to_node)
        2    0.001    0.001    0.163    0.082 route.py:16(generate_cost_graph)
        1    0.000    0.000    0.000    0.000 route.py:189(path_instructions)
        1    0.000    0.000    0.000    0.000 route.py:200(<listcomp>)
        8    0.000    0.000    0.000    0.000 route.py:216(get_step_instructions)
       44    0.000    0.000    0.000    0.000 route.py:221(get_direction)
        1    0.037    0.037   40.427   40.427 route.py:261(find_route)
      175    0.063    0.000    0.162    0.001 route.py:56(cost)
        1    0.000    0.000   40.591   40.591 test.py:58(run_bnb)
        1    0.000    0.000    0.000    0.000 test.py:59(<listcomp>)
    28745    0.039    0.000    0.039    0.000 {built-in method _heapq.heappop}
    69207    0.049    0.000    0.049    0.000 {built-in method _heapq.heappush}
        1    0.000    0.000   40.591   40.591 {built-in method builtins.exec}
   128184    0.018    0.000    0.018    0.000 {built-in method builtins.len}
  1182680    1.333    0.000    1.333    0.000 {built-in method builtins.min}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.print}
    92142    0.077    0.000    0.077    0.000 {built-in method builtins.sum}
    92860    0.014    0.000    0.014    0.000 {built-in method math.floor}
    92143    0.045    0.000    0.045    0.000 {built-in method numpy.asarray}
    92143    0.114    0.000    0.114    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    92143    0.056    0.000    0.056    0.000 {built-in method numpy.empty}
   232919    0.025    0.000    0.025    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
    46070    0.010    0.000    0.010    0.000 {method 'copy' of 'list' objects}
    46070    0.266    0.000    0.266    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
   108508    0.017    0.000    0.017    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       10    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
     8532    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      923    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
